inchi_key,smiles,energy_ev_mol
ATUOYWHBWRKTHZ-UHFFFAOYSA-N,CCC,100.0
GPRLSGONYQIRFK-UHFFFAOYSA-N,[H+],100.0
IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O,-50.2
INQOMBQAUSQDDS-UHFFFAOYSA-N,CI,100.0
LDEUNTUEQWSKLP-GYKKGXIBSA-N,CCc1cc(NC(=O)C(=O)N2C[C@@H](C)CCC2c2ccc3sc(C4CCN(C(=O)OCc5ccccc5)CC4)nc3c2)cnc1N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,-10.1
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-56.4
MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O,100.0
OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,-40.7
OTMSDBZUPAUEDD-UHFFFAOYSA-N,CC,-20.1
RYYVLZVUVIJVGH-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2C)n(C)c1=O,100.0
VGGSQFUCUMXWEO-UHFFFAOYSA-N,C=C,-12.8
WSFSSNUMVMOOMR-UHFFFAOYSA-N,C=O,-24.9
XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-18.0
XMBWDFGMSWQBCA-UHFFFAOYSA-M,[I-],100.0
XMBWDFGMSWQBCA-UHFFFAOYSA-N,I,100.0
XPQUAGVGBFBAFL-GYKKGXIBSA-N,CCc1cc(NC(=O)C(=O)N2C[C@@H](C)CCC2c2ccc3sc(C4=CCN(C(=O)OCc5ccccc5)CC4)nc3c2)cnc1N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,-10.0
YAPQBXQYLJRXSA-UHFFFAOYSA-N,Cn1cnc2c1c(=O)[nH]c(=O)n2C,100.0
UFHFLCQGNIYNRP-UHFFFAOYSA-N,[HH],0
PXGOKWXKJXAPGV-UHFFFAOYSA-N,FF,0
KRHYYFGTRYWZRS-UHFFFAOYSA-N,F,-271
