smiles,commonness
O,high
CO,high
CCO,high
CCCO,med
CCCCO,med
CC(C)O,high
CC(C)(C)O,med
OCCO,med
OCCCO,low
CC(=O)O,med
CC#N,high
CS(C)=O,high
CN(C)C=O,high
CC(=O)N(C)C,med
CN1CCCC1=O,high
C1CCOC1,high
O1CCOCC1,high
C1COCO1,med
COCCOC,med
COCCOCCOC,low
COCCO,low
CC(C)CO,low
CC(C)OC(C)C,med
CCOCC,high
COC(C)(C)C,high
CCOC(=O)C,high
CC(C)OC(=O)C,med
CCOC(=O)CC,low
CC(=O)C,high
CCC(C)=O,med
ClCCl,high
ClCCCl,med
ClC(Cl)Cl,high
ClC(Cl)(Cl)Cl,med
c1ccccc1,med
Cc1ccccc1,high
CCc1ccccc1,low
CC(C)c1ccccc1,low
c1ccncc1,high
N#Cc1ccccc1,med
C1CCCC1,low
C1CCCCC1,high
CC1CCCCC1,med
CCCCC,med
CCCCCC,high
CCCCCCC,med
CCCCCCCC,med
c1ccc(cc1)Cl,med
c1ccc(cc1)F,low
CC1CCCO1,high
