smiles,common_name,commonness
O,water,high
CO,methanol,high
CCO,ethanol,high
CCCO,1-propanol,med
CCCCO,1-butanol,med
CC(C)O,isopropanol,high
CC(C)(C)O,tert-butanol,med
OCCO,ethylene glycol,med
OCCCO,1,3-propanediol,low
CC(=O)O,acetic acid,med
CC#N,acetonitrile,high
CS(C)=O,dimethyl sulfoxide,high
CN(C)C=O,dimethylformamide,high
CC(=O)N(C)C,dimethylacetamide,med
CN1CCCC1=O,N-methyl-2-pyrrolidone,high
C1CCOC1,tetrahydrofuran,high
O1CCOCC1,1,4-dioxane,high
C1COCO1,1,3-dioxolane,med
COCCOC,1,2-dimethoxyethane,med
COCCOCCOC,diglyme,low
COCCO,2-methoxyethanol,low
CC(C)CO,isobutanol,low
CC(C)OC(C)C,diisopropyl ether,med
CCOCC,diethyl ether,high
COC(C)(C)C,methyl tert-butyl ether,high
CCOC(=O)C,ethyl acetate,high
CC(C)OC(=O)C,isopropyl acetate,med
CCOC(=O)CC,ethyl propionate,low
CC(=O)C,acetone,high
CCC(C)=O,2-butanone,med
ClCCl,dichloromethane,high
ClCCCl,1,2-dichloroethane,med
ClC(Cl)Cl,chloroform,high
ClC(Cl)(Cl)Cl,carbon tetrachloride,med
c1ccccc1,benzene,med
Cc1ccccc1,toluene,high
CCc1ccccc1,ethylbenzene,low
CC(C)c1ccccc1,cumene,low
c1ccncc1,pyridine,high
N#Cc1ccccc1,benzonitrile,med
C1CCCC1,cyclopentane,low
C1CCCCC1,cyclohexane,high
CC1CCCCC1,methylcyclohexane,med
CCCCC,pentane,med
CCCCCC,hexane,high
CCCCCCC,heptane,med
CCCCCCCC,octane,med
c1ccc(cc1)Cl,chlorobenzene,med
c1ccc(cc1)F,fluorobenzene,low
CC1CCCO1,2-methyltetrahydrofuran,high
