inchi	common_name	commonness
InChI=1S/H2O/h1H2	water	high
InChI=1S/CH4O/c1-2/h2H,1H3	methanol	high
InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3	ethanol	high
InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3	1-propanol	medium
InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3	1-butanol	medium
InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3	isopropanol	high
InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3	tert-butanol	medium
InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2	ethylene glycol	medium
InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2	1,3-propanediol	low
InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)	acetic acid	medium
InChI=1S/C2H3N/c1-2-3/h1H3	acetonitrile	high
InChI=1S/C2H6OS/c1-4(2)3/h1-2H3	dimethyl sulfoxide	high
InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3	dimethylformamide	high
InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3	dimethylacetamide	medium
InChI=1S/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3	N-methyl-2-pyrrolidone	high
InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2	tetrahydrofuran	high
InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2	1,4-dioxane	high
InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2	1,3-dioxolane	medium
InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3	1,2-dimethoxyethane	medium
InChI=1S/C6H14O3/c1-7-3-5-9-6-4-8-2/h3-6H2,1-2H3	diglyme	low
InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3	2-methoxyethanol	low
InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3	isobutanol	low
InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3	diisopropyl ether	medium
InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3	diethyl ether	high
InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3	methyl tert-butyl ether	high
InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3	ethyl acetate	high
InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3	isopropyl acetate	medium
InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3	ethyl propionate	low
InChI=1S/C3H6O/c1-3(2)4/h1-2H3	acetone	high
InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3	2-butanone	medium
InChI=1S/CH2Cl2/c2-1-3/h1H2	dichloromethane	high
InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2	1,2-dichloroethane	medium
InChI=1S/CHCl3/c2-1(3)4/h1H	chloroform	high
InChI=1S/CCl4/c2-1(3,4)5	carbon tetrachloride	medium
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H	benzene	medium
InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3	toluene	high
InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3	ethylbenzene	low
InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3	cumene	low
InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H	pyridine	high
InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H	benzonitrile	medium
InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2	cyclopentane	low
InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2	cyclohexane	high
InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3	methylcyclohexane	medium
InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3	pentane	medium
InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3	hexane	high
InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3	heptane	medium
InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3	octane	medium
InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H	chlorobenzene	medium
InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H	fluorobenzene	low
InChI=1S/C5H10O/c1-5-3-2-4-6-5/h5H,2-4H2,1H3	2-methyltetrahydrofuran	high
